F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,Class
0.008246106,0.043898172,0.052358415,0.038065649,0.02589974,0.018023838,0.014485127,0.013000682,0.012543372,0.018783119,0.024571362,0.030726906,0.027725352,0.025039561,0.02366763,0.02235014,0.022008972,0.021874682,Cancer
0.023627636,0.03818564,0.03011291,0.023069588,0.018036322,0.016058774,0.015164814,0.016454283,0.0203552,0.039147866,0.01370197,0.018431831,0.018003814,0.018377652,0.019737555,0.020913248,0.023416336,0.028211213,Non Cancer
0.062979879,0.079546144,0.03895557,0.021846833,0.013736305,0.009677248,0.006942126,0.00546645,0.004996055,0.004682711,0.044429608,0.043041182,0.03241935,0.026816333,0.023584261,0.02070878,0.018421292,0.015693757,Cancer
0.003186595,0.010970435,0.02368961,0.039945128,0.047845551,0.0411265,0.03138407,0.021812628,0.016119505,0.011135982,0.025970746,0.034022726,0.032713113,0.030206585,0.027389169,0.025329541,0.021548374,0.019376049,Cancer
0.002970793,0.01470887,0.029925567,0.040172807,0.04243264,0.036023128,0.026791544,0.020490852,0.017222617,0.015408946,0.02790151,0.034165929,0.030444277,0.027172415,0.024796506,0.02277245,0.021114755,0.020200665,Cancer
0.038669927,0.068359225,0.047693709,0.026975451,0.016853663,0.011847909,0.009776563,0.00884158,0.009695052,0.009029536,0.030614691,0.034977944,0.029948216,0.025623322,0.023436901,0.021998466,0.020732643,0.021825853,Non Cancer
0.115687679,0.056041816,0.025228331,0.015098943,0.010230122,0.008237822,0.006368643,0.004980749,0.004924785,0.002560888,0.029246508,0.03241404,0.029951648,0.027836229,0.027097511,0.025194753,0.023739703,0.021870523,Non Cancer
0.005073652,0.018456965,0.033450962,0.042306059,0.040805195,0.031851261,0.022022432,0.016904853,0.014594986,0.019626907,0.031016634,0.035369139,0.029248543,0.025500044,0.022227428,0.020195771,0.018489911,0.018332504,Non Cancer
0.007994709,0.023260342,0.038525975,0.045694026,0.03917628,0.027636123,0.019538541,0.014813726,0.012958336,0.016321552,0.029366596,0.034690278,0.029432728,0.02692336,0.024391947,0.021504152,0.019869204,0.018399589,Cancer
0.079379229,0.081440699,0.033672353,0.017469306,0.011350744,0.007992625,0.005536083,0.004675027,0.004310345,0.003338871,0.050148912,0.045266218,0.032061672,0.02460594,0.022017707,0.019723246,0.017752948,0.01587382,Non Cancer
0.019219445,0.03509941,0.035773504,0.028652896,0.022961832,0.019560366,0.017569075,0.015453813,0.0151865,0.032418528,0.014965675,0.02099766,0.022132773,0.021776356,0.022380716,0.023194279,0.023504207,0.023364739,Cancer
0.008311156,0.024915289,0.042221107,0.042588311,0.034582552,0.026413187,0.020919681,0.016280558,0.015360732,0.014725943,0.028969068,0.034782514,0.029957972,0.026980353,0.024133618,0.021734072,0.020152553,0.019854428,Non Cancer
0.017050538,0.037878013,0.039565173,0.037788543,0.031461694,0.024649147,0.017344513,0.01335029,0.01283903,0.014458447,0.02314732,0.031148547,0.029633937,0.027946778,0.024789744,0.02314732,0.021044761,0.020373731,Cancer
0.011310051,0.032812931,0.043274183,0.041366202,0.033737903,0.025268061,0.018027887,0.01361704,0.012122575,0.014770534,0.022366187,0.031786393,0.030654663,0.028942557,0.02761495,0.024393871,0.021854732,0.019533234,Non Cancer
0.044917802,0.061729816,0.047626141,0.029074019,0.018179725,0.013088048,0.010677626,0.00950627,0.008382309,0.005454595,0.029717249,0.035980283,0.03044173,0.026270888,0.024117759,0.022810985,0.023298486,0.023799529,Cancer
0.00926453,0.025964877,0.036574259,0.04006091,0.037556213,0.030874651,0.023246713,0.015661468,0.012893493,0.014322309,0.024470598,0.031941994,0.031045426,0.028462458,0.02657682,0.024235783,0.021147606,0.019916605,Non Cancer
0.023166399,0.058054287,0.056912913,0.038140611,0.02354426,0.014798916,0.010837216,0.008655749,0.007790953,0.006478957,0.038736619,0.043274849,0.035818907,0.029009614,0.02370787,0.019925363,0.01724917,0.016322047,Non Cancer
0.032962498,0.08758189,0.048970889,0.023045377,0.014654298,0.010097667,0.007965507,0.007664598,0.008335196,0.006977664,0.042101553,0.042196124,0.030340286,0.024502639,0.020466152,0.019236721,0.018553227,0.019593514,Cancer
0.002803935,0.020585163,0.041333556,0.044293466,0.0388452,0.031615908,0.023766341,0.017636134,0.012833534,0.01302941,0.033491244,0.038417173,0.032729502,0.028405711,0.024876308,0.021847478,0.018466795,0.015971184,Non Cancer
0.051914878,0.089963562,0.039673372,0.01884356,0.01167803,0.008588306,0.007484833,0.007095096,0.007193704,0.006051727,0.043979264,0.043899438,0.032728536,0.024990139,0.019914164,0.018388084,0.01813452,0.018787213,Non Cancer
0.020406443,0.026704455,0.036479678,0.034217716,0.025972644,0.019554881,0.015727287,0.015190626,0.015221672,0.032419678,0.023941313,0.024309436,0.022508737,0.020730214,0.020610464,0.02013146,0.020051626,0.023107492,Cancer
0.005453968,0.016273652,0.023492657,0.030429257,0.033862256,0.035591994,0.032079568,0.027702273,0.022257131,0.018285795,0.012849478,0.02058917,0.024525205,0.028214134,0.02869952,0.027896428,0.027058034,0.025028241,Non Cancer
0.07711858,0.058957528,0.034006476,0.022346754,0.015851699,0.012136653,0.009927707,0.007041016,0.006093428,0.005216125,0.027793815,0.03640996,0.034106883,0.03216778,0.0271851,0.023752447,0.02107912,0.01873839,Non Cancer
0.007991033,0.037960128,0.050858954,0.038471583,0.025906473,0.019438923,0.015590314,0.013374008,0.013693214,0.021372296,0.027063595,0.029747827,0.025703342,0.023574092,0.022493144,0.02218482,0.021190929,0.021753167,Non Cancer
